#SampleID	Distance
11766.000076854	0.4371792656070719
11766.000087783	0.1937580859314455
11766.000088300	0.35333652464310994
11766.000077160	0.36340488232674334
11766.000076857	0.35129320413502885
11766.000076030	0.194237050570814
11766.000088672	0.4310716877973909
11766.000077218	0.4536419447002677
11766.000085694	0.2772851707078836
11766.000078138	0.3793517262348381
11766.000077399	0.4005437010081135
11766.000086308	0.2836197055796364
11766.000088032	0.20731765407209415
11766.000086077	0.4038634149383526
11766.000085705	0.38627401216722207
11766.000086154	0.3305700041059637
11766.000076907	0.3389180340085418
11766.000076892	0.25752727984654344
11766.000078464	0.4106029252474511
11766.000078149	0.3719726321836945
11766.000077410	0.520482585252173
11766.000086319	0.2996203805053436
11766.000085716	0.4009382877742101
11766.000086165	0.3236093647978258
11766.000076936	0.2698449391641605
11766.000076880	0.2792894873855987
11766.000087966	0.3296955009237277
11766.000078475	0.4953181571758492
11766.000077333	0.4156654783727721
11766.000078160	0.4427512542076372
11766.000077421	0.5506316780112379
11766.000088054	0.3588164601134932
11766.000086176	0.3184547801472125
11766.000076986	0.3158199036818953
11766.000087977	0.38852572902266025
11766.000078486	0.5270693397638323
11766.000077344	0.3677335816329341
11766.000086341	0.5903547314697088
11766.000088065	0.4563284457577519
11766.000086121	0.4855314426599711
11766.000085738	0.5288618625628254
11766.000086187	0.3289498332209705
11766.000076859	0.36631406768661534
11766.000076904	0.628581816308129
11766.000087988	0.4140241960890076
11766.000077355	0.4349368374923197
11766.000078182	0.44272453576128346
11766.000077443	0.5632868925015498
11766.000086352	0.5073281290910651
11766.000088076	0.3639971276183961
11766.000086198	0.3509534666890579
11766.000076842	0.3989151687519372
11766.000076888	0.5316184301899304
11766.000077366	0.4831990702979325
11766.000078193	0.4885605771100738
11766.000077454	0.4699340748621108
11766.000086363	0.4934265335398124
11766.000088087	0.42722722773944266
11766.000086143	0.33133948144377195
11766.000085760	0.4701406814281629
11766.000086209	0.3293681628374949
11766.000076996	0.4074858597780999
11766.000077181	0.5203392190101884
11766.000088010	0.3640086218980445
11766.000078519	0.582251695177046
11766.000077377	0.4368177538116497
11766.000077465	0.5788556328359303
11766.000086374	0.5443957044218392
11766.000088098	0.4136037570897183
11766.000085771	0.5807451897463766
11766.000086220	0.3524888698071489
11766.000076913	0.37614830119624704
11766.000076995	0.4618221812756928
11766.000088021	0.4500420437647175
11766.000078530	0.5915177121847719
11766.000077388	0.3512463889387291
11766.000078215	0.5957707672121266
11766.000078116	0.5520147427721204
11766.000087944	0.5200220806010935
11766.000085909	0.4652819838591381
11766.000078643	0.5015596929087179
11766.000078127	0.4119033661257409
11766.000077227	0.5409463790424295
11766.000088763	0.34686399541456303
11766.000078453	0.5273569001255819
11766.000085884	0.43772453474263057
11766.000078362	0.5761110234191341
11766.000086473	0.29810240587446085
11766.000088413	0.33179069758825114
11766.000077213	0.3831285240869764
11766.000088865	0.3737394687145649
11766.000078226	0.33608762111215884
11766.000076855	0.3123328648875542
11766.000088887	0.3729084494433687
11766.000078654	0.44953909877586895
11766.000077168	0.4186305133948992
11766.000078541	0.3829022385671285
11766.000078259	0.4122194024609473
11766.000086484	0.3578353257465538
11766.000077233	0.4431649881454664
11766.000088876	0.35074027408939873
11766.000078237	0.4153312178117576
11766.000077212	0.2934065454707965
11766.000078665	0.4564266390465053
11766.000086506	0.3983852318458891
11766.000078552	0.3914927064813072
